Tajikistan,TJK,"Life expectancy at birth, total (years)",AS,59.506,63.26,67.994,71.594
Turkmenistan,TKM,"Life expectancy at birth, total (years)",AS,61.022,65.026,68.687,69.264
Timor-Leste,TLS,"Life expectancy at birth, total (years)",OC,28.446,58.568,68.475,67.737
Tonga,TON,"Life expectancy at birth, total (years)",OC,65.961,68.978,70.928,70.986
Trinidad and Tobago,TTO,"Life expectancy at birth, total (years)",AM,67.572,69.102,74.406,72.971
Tunisia,TUN,"Life expectancy at birth, total (years)",AF,63.975,73.69,75.292,73.772
Turkiye,TUR,"Life expectancy at birth, total (years)",AS,62.504,71.861,75.85,76.032
Tuvalu,TUV,"Life expectancy at birth, total (years)",OC,60.833,63.499,64.382,64.547
Tanzania,TZA,"Life expectancy at birth, total (years)",AF,51.201,52.362,66.408,66.201
Uganda,UGA,"Life expectancy at birth, total (years)",AF,42.949,48.342,62.851,62.705
Ukraine,UKR,"Life expectancy at birth, total (years)",EU,68.33017073,67.67560976,71.18512195,69.64780488
Uruguay,URY,"Life expectancy at birth, total (years)",AM,70.582,75.025,78.43,75.436
United States,USA,"Life expectancy at birth, total (years)",AM,73.6097561,76.63658537,76.9804878,76.32926829
Uzbekistan,UZB,"Life expectancy at birth, total (years)",AS,63.036,65.724,70.331,70.862
St. Vincent and the Grenadines,VCT,"Life expectancy at birth, total (years)",AM,70.184,71.377,72.126,69.629
"Venezuela, RB",VEN,"Life expectancy at birth, total (years)",AM,68.762,72.478,71.095,70.554
British Virgin Islands,VGB,"Life expectancy at birth, total (years)",AM,67.715,73.966,75.849,74.494
Virgin Islands (U.S.),VIR,"Life expectancy at birth, total (years)",AM,68.52914634,76.6195122,79.8195122,80.06829268
Vietnam,VNM,"Life expectancy at birth, total (years)",AS,66.195,72.462,75.378,73.618
Vanuatu,VUT,"Life expectancy at birth, total (years)",OC,61.083,68.966,70.299,70.449
World,WLD,"Life expectancy at birth, total (years)",WD,62.23355552,67.7004017,72.24382211,71.32739068
Samoa,WSM,"Life expectancy at birth, total (years)",OC,64.748,70.746,72.768,72.767
Kosovo,XKX,"Life expectancy at birth, total (years)",EU,67.685,74.072,76.567,76.806
"Yemen, Rep.",YEM,"Life expectancy at birth, total (years)",AS,50.654,62.588,64.65,63.753
South Africa,ZAF,"Life expectancy at birth, total (years)",AF,59.813,58.47,65.252,62.341
Zambia,ZMB,"Life expectancy at birth, total (years)",AF,54.143,45.231,62.38,61.223
Zimbabwe,ZWE,"Life expectancy at birth, total (years)",AF,58.674,44.686,61.124,59.253
